 person1 	rel 	person2
  Aaron_Burr 	  alongside 	  Rufus_King
  Pierre_Moussette 	  hypernym 	  Sailor
  2000_AD_(comics) 	  artists 	  Dave_Gibbons
  2000_AD_(comics) 	  writer 	  Alan_Moore
  Aaron_Burr 	  parents 	  Aaron_Burr_Sr.
  Aaron_Burr 	  governor 	  George_Clinton_(vice_president)
  Aaron_Burr 	  successor 	  George_Clinton_(vice_president)
  Aaron_Burr 	  predecessor 	  Thomas_Jefferson
  Aaron_Burr 	  president 	  Thomas_Jefferson
  2000_AD_(comics) 	  mainCharTeam 	  Strontium_Dog
  2000_AD_(comics) 	  writer 	  Grant_Morrison
  2000_AD_(comics) 	  artists 	  Frazer_Irving
  2000_AD_(comics) 	  writer 	  Mark_Millar
  Aaron_Burr 	  predecessor 	  Philip_Schuyler
  Aaron_Burr 	  successor 	  Philip_Schuyler
  Aaron_Burr 	  before 	  Philip_Schuyler
  2000_AD_(comics) 	  artists 	  Mike_McMahon_(comics)
  Luís_Tinoco 	  hypernym 	  Composer
  Aaron_Copland 	  hypernym 	  Composer
  Aaron_Burr 	  child 	  Theodosia_Burr_Alston
  2000_AD_(comics) 	  writer 	  John_Wagner
  2000_AD_(comics) 	  creators 	  John_Wagner
  2000_AD_(comics) 	  writer 	  Ian_Edginton
  2000_AD_(comics) 	  mainCharTeam 	  Sláine_(comics)
  A._C._Bhaktivedanta_Swami_Prabhupada 	  hypernym 	  Teacher
  Aaron_Burr 	  alongside 	  John_Laurance
  Aaron_Burr 	  spouse 	  Theodosia_Bartow_Prevost
  Adam_Oehlenschläger 	  sameAs 	  Adam_Oehlenschläger
  Adam_Wiśniewski-Snerg 	  sameAs 	  Adam_Wiśniewski-Snerg
  Adalbert_of_Magdeburg 	  deathPlace 	  Germany
  Aldo_Rossi 	  deathPlace 	  Italy
  Aldo_Rossi 	  birthPlace 	  Italy
  Abbie_Hoffman 	  influenced 	  Bob_Black
  Abbie_Hoffman 	  influencedBy 	  Lenny_Bruce
  Adlai_Stevenson_II 	  president 	  Lyndon_B._Johnson
  Abbie_Hoffman 	  influenced 	  Boots_Riley
  Albus_Dumbledore 	  portrayer 	  Michael_Gambon
  Abbie_Hoffman 	  influencedBy 	  Régis_Debray
  Abbie_Hoffman 	  nationality 	  United_States
  Adlai_Stevenson_II 	  successor 	  William_Stratton
  Abbie_Hoffman 	  influencedBy 	  Alfred_Hitchcock
  Abbie_Hoffman 	  influencedBy 	  Andy_Warhol
  Abbie_Hoffman 	  influencedBy 	  Groucho_Marx
  Abraham_de_Moivre 	  influencedBy 	  Isaac_Newton
  Albus_Dumbledore 	  creator 	  J._K._Rowling
  Abbie_Hoffman 	  influenced 	  Jello_Biafra
  Abbie_Hoffman 	  influencedBy 	  John_Lennon
  Abbie_Hoffman 	  influencedBy 	  Marshall_McLuhan
  Abbie_Hoffman 	  influenced 	  Naomi_Wolf
  Abbie_Hoffman 	  influencedBy 	  Che_Guevara
  Abbie_Hoffman 	  influencedBy 	  Herbert_Marcuse
  Abraham_de_Moivre 	  academicAdvisor 	  Jacques_Ozanam
  Abbie_Hoffman 	  influencedBy 	  John_Sinclair_(poet)
  Alec_Jeffreys 	  award 	  Royal_Medal
  Adi_Shamir 	  doctoralAdvisor 	  Zohar_Manna
  Abraham_Robinson 	  influencedBy 	  Abraham_Fraenkel
  Adlai_Stevenson_II 	  successor 	  Arthur_Goldberg
  Al_Pacino 	  partner 	  Beverly_D'Angelo
  Albus_Dumbledore 	  portrayer 	  Toby_Regbo
  Albert_Brudzewski 	  doctoralStudent 	  Bernard_Wapowski
  Abraham_Robinson 	  doctoralStudent 	  Azriel_Lévy
  Alessandro_Manzoni 	  relative 	  Cesare_Beccaria
  Alan_Shearer 	  position 	  Forward_(association_football)
  Alex_Ferguson 	  position 	  Forward_(association_football)
  Albert_Brudzewski 	  doctoralStudent 	  Nicolaus_Copernicus
  Abbie_Hoffman 	  influenced 	  Penn_Jillette
  Albus_Dumbledore 	  portrayer 	  Richard_Harris
  Adi_Shamir 	  doctoralStudent 	  Eli_Biham
  Abbie_Hoffman 	  influencedBy 	  George_Metesky
  Albrecht_III_Achilles,_Elector_of_Brandenburg 	  parent 	  Frederick_I,_Elector_of_Brandenburg
  Adlai_Stevenson_II 	  president 	  John_F._Kennedy
  Adlai_Stevenson_II 	  lieutenant 	  Sherwood_Dixon
  Adi_Shamir 	  doctoralStudent 	  Uriel_Feige
  Albrecht_III_Achilles,_Elector_of_Brandenburg 	  spouse 	  Margaret_of_Baden
  Abbie_Hoffman 	  influenced 	  Paul_Krassner
  Albert_Finney 	  spouse 	  Anouk_Aimée
  Abbie_Hoffman 	  influencedBy 	  Abraham_Maslow
  Adrienne_Rich 	  partner 	  Michelle_Cliff
  Abbie_Hoffman 	  influenced 	  Jonah_Raskin
  Abraham_Robinson 	  doctoralAdvisor 	  Paul_Dienes
  Abbie_Hoffman 	  influenced 	  Dana_Beal
  Alan_Rickman 	  spouse 	  Rima_Horton
  Abbie_Hoffman 	  influencedBy 	  Antonin_Artaud
  Abraham_Robinson 	  doctoralStudent 	  A._H._Lightstone
  Albert_Finney 	  spouse 	  Jane_Wenham_(actress)
  Abraham_Robinson 	  doctoralStudent 	  Peter_Winkler
  Alessandro_Manzoni 	  occupation 	  Poet
  Abbie_Hoffman 	  influenced 	  Steve_Conliff
  Adi_Shamir 	  doctoralStudent 	  Amos_Fiat
  Abraham_Robinson 	  doctoralStudent 	  Carol_S._Wood
  Adalbert_of_Magdeburg 	  hypernym 	  Archbishop
  Adlai_Stevenson_II 	  hypernym 	  Politician
  Alec_Jeffreys 	  hypernym 	  Geneticist
  Adolf_Loos 	  hypernym 	  Architect
  Aldo_Rossi 	  hypernym 	  Architect
  Albert_Brudzewski 	  hypernym 	  Astronomer
  Al_Pacino 	  with 	  Harvey_Keitel
  Al_Pacino 	  with 	  Ellen_Burstyn
  Adlai_Stevenson_II 	  title 	  United_States_Ambassador_to_the_United_Nations
  Adlai_Stevenson_II 	  title 	  Governor_of_Illinois
  Adlai_Stevenson_II 	  predecessor 	  Dwight_H._Green
  Adlai_Stevenson_II 	  predecessor 	  James_Jeremiah_Wadsworth
  Adam_Oehlenschläger 	  hypernym 	  Poet
  Adrienne_Rich 	  hypernym 	  Poet
  Alessandro_Manzoni 	  hypernym 	  Poet
  Alonzo_Church 	  doctoralStudent 	  Raymond_Smullyan
  Andie_MacDowell 	  child 	  Margaret_Qualley
  Alonzo_Church 	  doctoralStudent 	  Dana_Scott
  Alonzo_Church 	  doctoralStudent 	  J._Barkley_Rosser
  Allen_G._Thurman 	  child 	  Allan_W._Thurman
  Alonzo_Church 	  doctoralStudent 	  Alan_Turing
  Aloysius_Lilius 	  field 	  Astronomer
  Alonzo_Church 	  doctoralStudent 	  David_Kaplan_(philosopher)
  Alonzo_Church 	  doctoralAdvisor 	  Oswald_Veblen
  Alonzo_Church 	  doctoralStudent 	  Leon_Henkin
  Alice_Walker 	  child 	  Rebecca_Walker
  Alonzo_Church 	  doctoralStudent 	  Martin_Davis
  Andreas_Vesalius 	  almaMater 	  Old_University_of_Leuven
  Alonzo_Church 	  doctoralStudent 	  Alfred_Foster_(mathematician)
  Alonzo_Church 	  doctoralStudent 	  Michael_O._Rabin
  Alonzo_Church 	  doctoralStudent 	  C._Anthony_Anderson
  Andreas_Vesalius 	  doctoralAdvisor 	  Gemma_Frisius
  Alonzo_Church 	  doctoralStudent 	  George_Alfred_Barnard
  Alonzo_Church 	  doctoralStudent 	  Gary_R._Mar
  Amartya_Sen 	  hypernym 	  Economist
  Anders_Hejlsberg 	  hypernym 	  Engineer
  Alfred_Marshall 	  influenced 	  Gary_Becker
  Ambrosius_Holbein 	  training 	  Hans_Holbein_the_Elder
  Alfred_Marshall 	  influenced 	  John_Maynard_Keynes
  Alfred_Marshall 	  influencedBy 	  Léon_Walras
  Alexandru_Ioan_Cuza 	  hypernym 	  Prince
  Ali_G 	  portrayer 	  Sacha_Baron_Cohen
  Alfred_North_Whitehead 	  influenced 	  Talcott_Parsons
  Allen_G._Thurman 	  successor 	  Thomas_F._Bayard
  Amy_Tan 	  hypernym 	  Writer
  Alfred_North_Whitehead 	  influenced 	  Ervin_László
  Alfred_Bester 	  spouse 	  Rolly_Bester
  Alfred_North_Whitehead 	  influenced 	  John_Lighton_Synge
  Alfred_North_Whitehead 	  influenced 	  David_Bohm
  Alfred_North_Whitehead 	  influenced 	  C._D._Broad
  Alfred_North_Whitehead 	  influenced 	  Milič_Čapek
  Alfred_North_Whitehead 	  influenced 	  Sewall_Wright
  Alonzo_Church 	  nationality 	  United_States
  Alonzo_Church 	  residence 	  United_States
  Amartya_Sen 	  residence 	  United_States
  Alfred_Marshall 	  influencedBy 	  William_Stanley_Jevons
  Allan_Pinkerton 	  occupation 	  Detective
  Allan_Pinkerton 	  hypernym 	  Detective
  Allen_G._Thurman 	  succeeded 	  Thomas_W._Bartley
  Alfred_North_Whitehead 	  influenced 	  Wolfgang_Smith
  Alfred_North_Whitehead 	  influenced 	  Wilfred_Eade_Agar
  Alfred_North_Whitehead 	  influencedBy 	  Aristotle
  Ambrosius_Holbein 	  hypernym 	  Artist
  Alfred_North_Whitehead 	  influenced 	  B._F._Skinner
  Alfred_North_Whitehead 	  influenced 	  Bertrand_Russell
  Alexander_Shulgin 	  hypernym 	  Chemist
  Alfred_North_Whitehead 	  influencedBy 	  David_Hume
  Andreas_Vesalius 	  influencedBy 	  Galen
  Alfred_North_Whitehead 	  influencedBy 	  Gottfried_Wilhelm_Leibniz
  Alfred_North_Whitehead 	  influencedBy 	  Henri_Bergson
  Alfred_North_Whitehead 	  influencedBy 	  Immanuel_Kant
  Alfred_North_Whitehead 	  influencedBy 	  Isaac_Newton
  Aloysius_Lilius 	  nationality 	  Italy
  Alfred_North_Whitehead 	  influencedBy 	  John_Locke
  Alfred_North_Whitehead 	  influenced 	  Maurice_Merleau-Ponty
  Alexander_Dallas_Bache 	  hypernym 	  Physicist
  Alfred_North_Whitehead 	  influencedBy 	  Plato
  Anders_Hejlsberg 	  occupation 	  Programmer
  Amedeo_Avogadro 	  hypernym 	  Scientist
  Alfred_North_Whitehead 	  influenced 	  Ilya_Prigogine
  Alfred_North_Whitehead 	  influenced 	  Jules_Vuillemin
  Allen_G._Thurman 	  profession 	  Secretary
  Alfred_North_Whitehead 	  influencedBy 	  William_James
  Allen_G._Thurman 	  before 	  Benjamin_Wade
  Allen_G._Thurman 	  preceded 	  Benjamin_Wade
  Ambrosius_Holbein 	  movement 	  Northern_Renaissance
  Alice_Walker 	  partner 	  Robert_L._Allen
  Alfred_Rosenberg 	  president 	  Adolf_Hitler
  Alfred_Rosenberg 	  leader 	  Adolf_Hitler
  Alfred_Jodl 	  relation 	  Ferdinand_Jodl
  Alfred_Marshall 	  influencedBy 	  Vilfredo_Pareto
  Alfred_North_Whitehead 	  influenced 	  Michel_Weber
  Alfred_Marshall 	  influencedBy 	  Henry_Sidgwick
  Alice_Walker 	  partner 	  Tracy_Chapman
  Alyson_Hannigan 	  spouse 	  Alexis_Denisof
  Alexandru_Ioan_Cuza 	  predecessor 	  Grigore_Alexandru_Ghica
  Alfred_Meyer 	  predecessor 	  Ferdinand_von_Lüninck
  Alexandru_Ioan_Cuza 	  spouse 	  Elena_Cuza
  Alexander_Shulgin 	  spouses 	  Ann_Shulgin
  Alfred_Marshall 	  influenced 	  Arthur_Cecil_Pigou
  Alfred_North_Whitehead 	  influencedBy 	  George_Santayana
  Alfred_Kinsey 	  hypernym 	  Biologist
  Alfred_Meyer 	  predecessor 	  Hans-Joachim_Riecke
  Alexandru_Ioan_Cuza 	  successor 	  Carol_I_of_Romania
  Andreas_Vesalius 	  influenced 	  Gabriele_Falloppio
  Andreas_Vesalius 	  influencedBy 	  Jacques_Dubois
  Andreas_Vesalius 	  influencedBy 	  Jean_Fernel
  Alfred_Marshall 	  influencedBy 	  Jules_Dupuit
  Amartya_Sen 	  children 	  Antara_Dev_Sen
  Allen_G._Thurman 	  predecessor 	  Thomas_W._Ferry
  Alfred_North_Whitehead 	  influenced 	  F._S._C._Northrop
  Alexandru_Ioan_Cuza 	  issue 	  Alexandru_Al._Ioan_Cuza
  Allen_G._Thurman 	  succeeded 	  Charles_Cleveland_Convers
  Allen_G._Thurman 	  preceded 	  John_A._Corwin
  Allen_G._Thurman 	  before 	  John_I._Vanmeter
  Allen_G._Thurman 	  preceded 	  John_I._Vanmeter
  Allen_G._Thurman 	  after 	  John_L._Taylor
  Allen_G._Thurman 	  succeeded 	  John_L._Taylor
  Alexander_Trocchi 	  hypernym 	  Novelist
  Alice_Walker 	  hypernym 	  Novelist
  Allen_G._Thurman 	  preceded 	  Peter_Hitchcock
  Alice_Miller_(psychologist) 	  influencedBy 	  Katharina_Rutschky
  Alfred_Meyer 	  successor 	  Rudolf_Amelunxen
  Alfred_North_Whitehead 	  influenced 	  Susanne_Langer
  Anders_Hejlsberg 	  occupation 	  Systems_architect
  Alice_Miller_(psychologist) 	  influencedBy 	  Mariella_Mehr
  Alfred_Meyer 	  successor 	  Heinrich_Drake
  Angela_Davis 	  differentFrom 	  Michaela_Angela_Davis
  Andrzej_Żuławski 	  sameAs 	  Andrzej_Żuławski
  André_Breton 	  sameAs 	  André_Breton
  André_Malraux 	  sameAs 	  André_Malraux
  Anthony_Fokker 	  deathPlace 	  United_States
  Andrew_Inglis_Clark 	  profession 	  Engineer
  Anthony_Burgess 	  influencedBy 	  Ford_Madox_Ford
  Anne_Desclos 	  occupation 	  Journalist
  Andrew_Bobola 	  beatifiedBy 	  Pope_Pius_IX
  Anne_Neville 	  parent 	  Richard_Neville,_16th_Earl_of_Warwick
  Anthony_Burgess 	  influencedBy 	  Samuel_Johnson
  Anthony_Burgess 	  influencedBy 	  William_Shakespeare
  Andrew_Lloyd_Webber 	  parent 	  William_Lloyd_Webber
  Anthony_Burgess 	  influencedBy 	  Evelyn_Waugh
  Anne_of_Cleves 	  parent 	  John_III,_Duke_of_Cleves
  Anthony_Zinni 	  country 	  United_States
  Andrzej_Żuławski 	  relative 	  Jerzy_Żuławski
  André_Breton 	  influencedBy 	  René_Guénon
  Anthony_Burgess 	  influencedBy 	  Claude_Lévi-Strauss
  Anthony_Burgess 	  influencedBy 	  Aldous_Huxley
  André_Breton 	  influencedBy 	  Alfred_Jarry
  Anthony_Burgess 	  influencedBy 	  Christopher_Marlowe
  Anthony_Burgess 	  influencedBy 	  Dante_Alighieri
  André_Breton 	  influencedBy 	  Georg_Wilhelm_Friedrich_Hegel
  Anthony_Burgess 	  influencedBy 	  George_Orwell
  Anthony_Burgess 	  influencedBy 	  Gerard_Manley_Hopkins
  Anthony_Burgess 	  influencedBy 	  Homer
  Anthony_Burgess 	  influencedBy 	  James_Joyce
  Anthony_Burgess 	  influencedBy 	  John_Milton
  Anthony_Burgess 	  influencedBy 	  Joseph_Conrad
  André_Breton 	  influencedBy 	  Karl_Marx
  Anthony_Burgess 	  influencedBy 	  Laurence_Sterne
  André_Breton 	  influencedBy 	  Leon_Trotsky
  André_Breton 	  influencedBy 	  Sigmund_Freud
  Anthony_Burgess 	  influencedBy 	  Sigmund_Freud
  Anne,_Queen_of_Great_Britain 	  parent 	  Anne_Hyde
  André_Breton 	  influenced 	  Luis_Buñuel
  Antanas_Valionis 	  primeMinister 	  Algirdas_Brazauskas
  Anthony_Zinni 	  predecessor 	  Dennis_Ross
  André_Breton 	  influenced 	  Wolfi_Landstreicher
  Anne_Boleyn 	  parent 	  Thomas_Boleyn,_1st_Earl_of_Wiltshire
  Andrew_Sarris 	  influenced 	  J._Hoberman
  Anna_of_Russia 	  parent 	  Praskovia_Saltykova
  Antanas_Valionis 	  primeMinister 	  Zigmantas_Balčytis
  Anthony_Zinni 	  party 	  Independent_politician
  Anne,_Queen_of_Great_Britain 	  parent 	  James_II_of_England
  André_Breton 	  influencedBy 	  Marquis_de_Sade
  Antanas_Valionis 	  primeMinister 	  Rolandas_Paksas
  Antanas_Valionis 	  primeMinister 	  Gediminas_Kirkilas
  Andrew_Lloyd_Webber 	  child 	  Imogen_Lloyd_Webber
  Anne_of_Cleves 	  parent 	  Maria_of_Jülich-Berg
  André_Breton 	  influencedBy 	  Charles_Fourier
  Anthony_Burgess 	  influencedBy 	  D._H._Lawrence
  Anne_of_Denmark 	  parent 	  Frederick_II_of_Denmark
  Anthony_Zinni 	  president 	  George_W._Bush
  Anthony_Burgess 	  influencedBy 	  T._S._Eliot
  Anne,_Queen_of_Great_Britain 	  predecessor 	  William_III_of_England
  Anne_Boleyn 	  parent 	  Elizabeth_Boleyn,_Countess_of_Wiltshire
  Antanas_Valionis 	  primeMinister 	  Eugenijus_Gentvilas
  Anne_of_Denmark 	  parent 	  Sophie_of_Mecklenburg-Güstrow
  Andrew_Lloyd_Webber 	  relative 	  Julian_Lloyd_Webber
  Anna_of_Russia 	  parent 	  Ivan_V_of_Russia
  Andrew_Bobola 	  canonizedBy 	  Pope_Pius_XI
  André_Breton 	  influencedBy 	  Arthur_Rimbaud
  André_Breton 	  influenced 	  Guy_Debord
  André_Breton 	  influenced 	  Fernando_Arrabal
  André_Breton 	  influencedBy 	  Jacques_Vaché
  Andrew_Sarris 	  influenced 	  Kenneth_Turan
  Anna_of_Russia 	  predecessor 	  Peter_II_of_Russia
  Andy_Razaf 	  occupation 	  Composer
  Anne_Desclos 	  occupation 	  Novelist
  Antanas_Valionis 	  predecessor 	  Algirdas_Saudargas
  Andrew_Sarris 	  influenced 	  Armond_White
  Andrew_Sarris 	  influenced 	  Michael_Phillips_(critic)
  Andy_Razaf 	  occupation 	  Poet
  Anne_Desclos 	  hypernym 	  Journalist
  Antanas_Valionis 	  hypernym 	  Politician
  André_Breton 	  hypernym 	  Writer
  Anthony_Burgess 	  hypernym 	  Writer
  Andrzej_Wajda 	  spouse 	  Beata_Tyszkiewicz
  André_Breton 	  spouse 	  Jacqueline_Lamba
  Andrew_Sarris 	  spouse 	  Molly_Haskell
  Anne_Neville 	  spouse 	  Edward_of_Westminster,_Prince_of_Wales
  Anne_of_Denmark 	  issue 	  Charles_I_of_England
  Anselme_Payen 	  hypernym 	  Chemist
  Anne_Boleyn 	  issue 	  Elizabeth_I_of_England
  Anne_Boleyn 	  spouse 	  Henry_VIII_of_England
  Anne_of_Cleves 	  spouse 	  Henry_VIII_of_England
  Anne_Neville 	  spouse 	  Richard_III_of_England
  Andrew_Lloyd_Webber 	  spouse 	  Madeleine_Gurdon
  Anne_Neville 	  issue 	  Edward_of_Middleham,_Prince_of_Wales
  Anna_of_Russia 	  hypernym 	  Regent
  Andrzej_Wajda 	  spouse 	  Krystyna_Zachwatowicz
  André_Breton 	  spouse 	  Elisa_Breton
  Anne,_Queen_of_Great_Britain 	  spouse 	  Prince_George_of_Denmark
  Anne,_Queen_of_Great_Britain 	  after 	  George_I_of_Great_Britain
  Anne,_Queen_of_Great_Britain 	  successor 	  George_I_of_Great_Britain
  Anne,_Queen_of_Great_Britain 	  before 	  William_III_of_England
  Andrew_Lloyd_Webber 	  spouse 	  Sarah_Brightman
  Anna_of_Russia 	  successor 	  Ivan_VI_of_Russia
  Andrzej_Żuławski 	  spouse 	  Małgorzata_Braunek
  Anne_Boleyn 	  title 	  List_of_Irish_consorts
  Anne_Neville 	  title 	  List_of_Irish_consorts
  Anne_of_Cleves 	  title 	  List_of_Irish_consorts
  Andrew_Lloyd_Webber 	  hypernym 	  Composer
  Anne_of_Denmark 	  issue 	  Henry_Frederick,_Prince_of_Wales
  Anne_of_Denmark 	  next 	  Henrietta_Maria_of_France
  André_Malraux 	  hypernym 	  Novelist
  Antanas_Valionis 	  successor 	  Petras_Vaitiekūnas
  Anne,_Queen_of_Great_Britain 	  issue 	  Prince_William,_Duke_of_Gloucester
  Andrew_Marvell 	  hypernym 	  Poet
  Andy_Razaf 	  hypernym 	  Poet
  Anthony_Zinni 	  successor 	  George_J._Mitchell
  Anna_of_Russia 	  spouse 	  Frederick_William,_Duke_of_Courland
  Anthony_Burgess 	  spouse 	  Liana_Burgess
  August_Ferdinand_Möbius 	  sameAs 	  August_Ferdinand_Möbius
  Antipope_Nicholas_V 	  differentFrom 	  Pope_Nicholas_V
  Anton_Cermak 	  deathPlace 	  United_States
  Antonie_van_Leeuwenhoek 	  deathPlace 	  Dutch_Republic
  Antonie_van_Leeuwenhoek 	  birthPlace 	  Dutch_Republic
  Astor_Piazzolla 	  deathPlace 	  Argentina
  Astor_Piazzolla 	  birthPlace 	  Argentina
  Archbishop 	  seeAlso 	  Diocesan_bishop
  Antigone 	  seeAlso 	  Oedipus
  August_Ferdinand_Möbius 	  academicAdvisor 	  Carl_Friedrich_Gauss
  August_Ferdinand_Möbius 	  academicAdvisor 	  Karl_Mollweide
  Anwar_Sadat 	  predecessor 	  Gamal_Abdel_Nasser
  Anwar_Sadat 	  president 	  Gamal_Abdel_Nasser
  Anwar_Sadat 	  successor 	  Hosni_Mubarak
  Anton_Cermak 	  hypernym 	  Politician
  Ashikaga_Yoshiharu 	  hypernym 	  Shogun
  August_Strindberg 	  influenced 	  Tennessee_Williams
  Anton_Cermak 	  predecessor 	  William_Hale_Thompson
  August_Strindberg 	  influencedBy 	  William_Shakespeare
  Arachne 	  hypernym 	  Woman
  Arnold_Bennett 	  hypernym 	  Writer
  Astrid_Lindgren 	  hypernym 	  Writer
  August_Strindberg 	  influencedBy 	  Georg_Brandes
  Anton_Cermak 	  successor 	  Frank_J._Corr
  Anwar_Sadat 	  successor 	  Sufi_Abu_Taleb
  Antonio_Gramsci 	  influenced 	  Ernesto_Laclau
  Arkan 	  spouse 	  Ceca_(singer)
  August_Strindberg 	  influenced 	  Jan_Myrdal
  Antonio_Gramsci 	  influencedBy 	  Giovanni_Gentile
  Anthrax_(American_band) 	  bandMember 	  Scott_Ian
  August_Ferdinand_Möbius 	  notableStudent 	  Hermann_Hankel
  Arthur_Evans 	  influencedBy 	  John_Evans_(archaeologist)
  Antonio_Gramsci 	  influenced 	  Stuart_Hall_(cultural_theorist)
  Antonio_Gramsci 	  influencedBy 	  Vladimir_Lenin
  Anthrax_(American_band) 	  bandMember 	  Joey_Belladonna
  Anwar_Sadat 	  predecessor 	  Abdel_Latif_Boghdadi_(politician)
  Anwar_Sadat 	  successor 	  Ali_Sabri
  Anwar_Sadat 	  predecessor 	  Aziz_Sedki
  Antonio_Gramsci 	  influenced 	  Edward_Said
  Anwar_Sadat 	  predecessor 	  Hussein_el-Shafei
  Antipope_Nicholas_V 	  hypernym 	  Antipope
  August_Strindberg 	  influencedBy 	  Friedrich_Nietzsche
  August_Ferdinand_Möbius 	  residence 	  Germany
  Arthur_Evans 	  influencedBy 	  Heinrich_Schliemann
  August_Strindberg 	  influenced 	  Henrik_Ibsen
  August_Strindberg 	  influencedBy 	  Henrik_Ibsen
  Antonio_Gramsci 	  influencedBy 	  Karl_Marx
  August_Strindberg 	  influenced 	  Knut_Hamsun
  Anthrax_(American_band) 	  associatedBand 	  Megadeth
  Anthrax_(American_band) 	  associatedMusicalArtist 	  Megadeth
  Antonio_Gramsci 	  influencedBy 	  Niccolò_Machiavelli
  Augur 	  hypernym 	  Priest
  August_Strindberg 	  influencedBy 	  Søren_Kierkegaard
  Anwar_Sadat 	  spouse 	  Jehan_Sadat
  Antonio_Gramsci 	  influenced 	  Chantal_Mouffe
  Antonio_Gramsci 	  influenced 	  Nicos_Poulantzas
  Audrey_Hepburn 	  partner 	  Robert_Wolders
  Astor_Piazzolla 	  associatedBand 	  Pino_Presti
  Astor_Piazzolla 	  associatedMusicalArtist 	  Pino_Presti
  August_Strindberg 	  influenced 	  Reinhard_Sorge
  Antonio_Gramsci 	  influenced 	  Néstor_García_Canclini
  Astor_Piazzolla 	  associatedBand 	  Tullio_De_Piscopo
  Astor_Piazzolla 	  associatedMusicalArtist 	  Tullio_De_Piscopo
  Astor_Piazzolla 	  associatedBand 	  Amelita_Baltar
  Astor_Piazzolla 	  associatedMusicalArtist 	  Amelita_Baltar
  Antonio_Gramsci 	  influenced 	  Piero_Gobetti
  Anwar_Sadat 	  successor 	  Zakaria_Mohieddin
  Antonie_van_Leeuwenhoek 	  nationality 	  Dutch_Republic
  Antonio_Banderas 	  spouse 	  Melanie_Griffith
  Astor_Piazzolla 	  associatedBand 	  Nadia_Boulanger
  Astor_Piazzolla 	  associatedMusicalArtist 	  Nadia_Boulanger
  Antonio_Gramsci 	  influenced 	  Raymond_Williams
  August_Strindberg 	  influenced 	  Eugene_O'Neill
  August_Strindberg 	  influenced 	  Henry_Miller
  Anthrax_(American_band) 	  associatedBand 	  Overkill_(band)
  Anthrax_(American_band) 	  associatedMusicalArtist 	  Overkill_(band)
  Anthrax_(American_band) 	  associatedBand 	  Slayer
  Anthrax_(American_band) 	  associatedMusicalArtist 	  Slayer
  Arthur_Evans 	  influenced 	  V._Gordon_Childe
  Anwar_Sadat 	  title 	  President_of_Egypt
  August_Strindberg 	  spouse 	  Siri_von_Essen
  August_Strindberg 	  spouse 	  Frida_Uhl
  Anwar_Sadat 	  title 	  Prime_Minister_of_Egypt
  Anthrax_(American_band) 	  bandMember 	  Charlie_Benante
  Ashley_Judd 	  spouse 	  Dario_Franchitti
  Anthrax_(American_band) 	  bandMember 	  Frank_Bello
  Anthrax_(American_band) 	  associatedBand 	  Nuclear_Assault
