id,type,question,answer,answer_value,statements,coefs
1617,factoid,When did the Klondike gold rush occur?,189[6789],1898,the Klondike gold rush occur  in 1898 ,32
2094,factoid,When was JFK born?,1917,1917,JFK born  in 1917 ,0
2344,factoid,What city hosted the 1936 Summer Olympics?,Berlin,Berlin,Berlin  city hosted the 1936 Summer Olympics,36
1850,factoid,What is Marilyn Monroe's real name?,Norma Jeane? (Baker|Mortenson)|Norma Jean,Norma Jean,Norma Jean is Marilyn Monroe 's real name,4
2149,factoid,How many Olympic gold medals did Carl Lewis win?,ten|\b10\b|nine,10,Olympic gold medals did Carl Lewis win   10 many,83
1402,factoid,What year did Wilt Chamberlain score 100 points?,1962,1962,1962  year did Wilt Chamberlain score 100 points,134
1897,factoid,What is the name of the airport in Dallas Ft. Worth?,Dallas(\s\/\s|\-)Fort Worth International Airport|Dallas\/Fort Worth International Airport,Dallas-Fort Worth International Airport,Dallas-Fort Worth International Airport is the name of the airport in Dallas Ft. Worth,83
1822,factoid,Who was the captain of the Titanic?,Smith,Smith,Smith  was the captain of the Titanic,3
1588,factoid,When was Apollo 11 launched?,1969,1969,Apollo 11 launched  in 1969 ,19
10019,factoid,What is the color of pea?,green|yellow,yellow,yellow is the color of pea,144
1852,factoid,When did Henry VIII rule England?,16th\s*century|1509.*1547|1509|1551|28 June 1491 \– 28 January 1547,16th century,Henry VIII rule England  in 16th century ,143
10073,factoid,what is the atomic number of molybdenum?,\b42\b,42,42 is the atomic number of molybdenum,1
2186,factoid,What are the measurements for a king-size bed?,"76\s*(inch|"").*80\s*(inch|"")",76 s  inch     80 s  inch   ,76 s  inch     80 s  inch     are the measurements for a king-size bed,0
1456,factoid,What is the Keystone State?,Pennsylvania,Pennsylvania,Pennsylvania is the Keystone State,207
10081,factoid,what is the name of the Doctor's wife in the long eunning BBC TV series Doctor Who.,River Song,River Song,River Song is the name of the Doctor 's wife in the long eunning BBC TV series Doctor Who,12
1394,factoid,In what country did the game of croquet originate?,French|France|Great Britain and Switzerland \–,France,France  country did the game of croquet originate,69
1695,factoid,What breed was Roy Rogers' horse Trigger?,palomino,palomino,palomino  breed was Roy Rogers ' horse Trigger,21
1459,factoid,What is one national park in Indiana?,Indiana Dunes National Lakeshore,Indiana Dunes National Lakeshore,Indiana Dunes National Lakeshore is one national park in Indiana,63
2215,factoid,What are sounds too low for humans to hear called?,infrasonic|infrasound,infrasound,infrasound  are sounds too low for humans to hear called,39
2210,factoid,How many grams in an ounce?,28|30,30,grams in an ounce   30 many,6
1572,factoid,For whom was the state of Pennsylvania named?,William Penn,William Penn,William Penn  was the state of Pennsylvania named,44
10036,factoid,When was the first of the International Mathematical Olympiads held?,1959,1959,the first of the International Mathematical Olympiads held  in 1959 ,5
1762,factoid,What is the name of Scarlett O'Hara's house?,Tara,Tara,Tara is the name of Scarlett O'Hara 's house,5
1627,factoid,What is written on the U.S. tomb of the unknown soldier?,Here Rests In Honored Glory An American Soldier Known But To God,Here Rests In Honored Glory An American Soldier Known But To God,Here Rests In Honored Glory An American Soldier Known But To God is written on the U.S. tomb of the unknown soldier,5
2365,factoid,What body of water does the Colorado River empty into?,Gulf of California,Gulf of California,Gulf of California  body of water does the Colorado River empty into,16
10091,factoid,when was Voyager 1 launched?,1977,1977,Voyager 1 launched  in 1977 ,4
1722,factoid,What year did poet Emily Dickinson die?,1886,1886,1886  year did poet Emily Dickinson die,79
2232,factoid,What daughter of Czar Nicholas II is said to have escaped death in the Russian revolution?,Anastasia,Anastasia,Anastasia  daughter of Czar Nicholas II is said to have escaped death in the Russian revolution,45
2307,factoid,How many terms was Dwight D. Eisenhower president?,\b2\b|two,two,terms was Dwight D. Eisenhower president   two many,2
1678,factoid,Who was the U.S. president in 1929?,Hoover,Hoover,Hoover  was the U.S. president in 1929,3
2011,factoid,When was Leonardo da Vinci born?,1452,1452,Leonardo da Vinci born  in 1452 ,3
2317,factoid,What team drafted Brett Favre?,Atlanta|Falcons,Atlanta,Atlanta  team drafted Brett Favre,8
2170,factoid,How often does the men's soccer World Cup take place?,four year|4 year,4 year,often does the men 's soccer World Cup take place   4 year ,16
2375,factoid,What date did Thomas Jefferson die?,4 July? 1826|July? 4.*?1826,4 July  1826 July  4   1826,4 July  1826 July  4   1826  date did Thomas Jefferson die,6
2188,factoid,"Who sang ""Tennessee Waltz""?",Patti Page,Patti Page,Patti Page  sang `` Tennessee Waltz '',19
2393,factoid,What color hair did Thomas Jefferson have before gray?,\bred,red,red  color hair did Thomas Jefferson have before gray,5
2361,factoid,What stadium was the first televised MLB game played in?,Ebbets Field,Ebbets Field,Ebbets Field  stadium was the first televised MLB game played in,3
1530,factoid,What is the capital city of New Zealand?,Wellington,Wellington,Wellington is the capital city of New Zealand,63
1582,factoid,How high is a hand?,4\s*in(ches)?,4 in,a hand is  4 in high,0
2378,factoid,How did Bob Marley die?,cancer|melanoma,melanoma,Bob Marley die   melanoma ,22
2080,factoid,What peace treaty ended WWI?,Versailles|Lausanne,Lausanne,Lausanne  peace treaty ended WWI,8
1773,factoid,What was Aaron Copland's most famous piece of music?,Appalachian Spring|Billy the Kid|Rodeo|Fanfare for the Common Man|Third Symphony,Third Symphony,Third Symphony  was Aaron Copland 's most famous piece of music,2
10022,factoid,What is the density of gold?,"\b19\.3.*cm|\b19,?3.*kg|11\,340\ kg\/m3|19\.32 grams per cubic centimeter at 20 \°C",19.32 grams per cubic centimeter at 20 °C,19.32 grams per cubic centimeter at 20 °C is the density of gold,5
1638,factoid,What city in Australia has rain forests?,Cairns|Daintree|Port Douglas,Daintree,Daintree  city in Australia has rain forests,5
2124,factoid,What organization did Paul Konerko first play major league baseball with?,Dodgers,Dodgers,Dodgers  organization did Paul Konerko first play major league baseball with,26
1752,factoid,When was the Oklahoma City bombing?,1995,1995,the Oklahoma City bombing  in 1995 ,17
2062,factoid,How many legs does a beetle have?,six|\b6\b,six,legs does a beetle have   six many,15
1667,factoid,What is the abbreviation for the London stock exchange?,L.?S.?E.?,"LuSBE,","LuSBE, is the abbreviation for the London stock exchange",0
1748,factoid,When were the Los Angeles riots?,(19|4/30/)92,1992,the Los Angeles riots  in 1992 ,73
1490,factoid,What is the Boston Strangler's name?,Albert DeSalvo,Albert DeSalvo,Albert DeSalvo is the Boston Strangler 's name,22
1826,factoid,Which film received the first best picture Academy Award?,.*Wings.*,  Wings  ,  Wings    film received the first best picture Academy Award,10
1503,factoid,What is the world's second largest island?,New Guinea,New Guinea,New Guinea is the world 's second largest island,3
1549,factoid,What year was the IBM PC invented?,1981,1981,1981  year was the IBM PC invented,0
2333,factoid,How old do you have to be to join the U.S. Navy?,\b17\b,17,do you have to be to join the U.S. Navy   17 old,0
1698,factoid,When was Julius Caesar born?,100\s*B.?C.?|B.?C.?\s*100,100 BC,Julius Caesar born  in 100 BC ,2
1728,factoid,When did Yankee Stadium first open?,1923,1923,Yankee Stadium first open  in 1923 ,116
1910,factoid,What are pennies made of?,zinc|copper|brass|bronze|steel,zinc,zinc  are pennies made of,28
10064,factoid,how much is 1+1?,\b2\b|two,2,1+1 is  2 much,0
10015,factoid,What is capital city of Russia?,Moscow,Moscow,Moscow is capital city of Russia,188
1471,factoid,How fast can a cheetah run?,120\s*km/?h|75\s*mph,120 km/h,fast can a cheetah run   120 km/h ,20
2335,factoid,How did Harry Chapin die?,car accident|car crash|traffic,car accident,Harry Chapin die   car accident ,14
2302,factoid,How much did the first Barbie cost?,\b3\b|three,3,much did the first Barbie cost   3 ,14
2076,factoid,"What company owns the soft drink brand ""Gatorade""?",Quaker Oats|PepsiCo,PepsiCo,PepsiCo  company owns the soft drink brand `` Gatorade '',29
1424,factoid,Who won the Oscar for best actor in 1970?,George C. Scott|Scott,George C$ Scott,George C$ Scott  won the Oscar for best actor in 1970,14
1772,factoid,Who invented the cotton gin?,Whitney,Whitney,Whitney  invented the cotton gin,41
10035,factoid,When was Maria Theresa born?,1717,1717,Maria Theresa born  in 1717 ,4
2360,factoid,What is the gift for the 20th anniversary?,china|platinum,platinum,platinum is the gift for the 20th anniversary,0
1651,factoid,What is another name for the North Star?,Polaris,Polaris,Polaris is another name for the North Star,39
10056,factoid,how did stalin die?,stroke|cerebral hemorrhage,cerebral hemorrhage,stalin die   cerebral hemorrhage ,30
1981,factoid,How long is the Great Barrier Reef?,"1,?(200|250|400)\s*miles?|(2,?000|2,?300)\s*(km|kilometers)",2000 km,the Great Barrier Reef is  2000 km long,245
1463,factoid,What is the North Korean national anthem?,Patriotic Song|Aegukka|Let Morning Shine|the national anthem,the national anthem,the national anthem is the North Korean national anthem,3
1521,factoid,What year did Ellis Island open its doors to immigrants?,1892,1892,1892  year did Ellis Island open its doors to immigrants,37
1797,factoid,How did Adolf Hitler die?,committed suicide|Suicide|April 1945|Ballistic trauma,Suicide,Adolf Hitler die   Suicide ,42
1720,factoid,"When a game of baseball is forfeited, what is the score?",9\s*[:-]\s*0,9 : 0,the score  in 9 : 0 ,0
2288,factoid,What animal is veal from?,cal(f|ves)|cows|Cattle,calf,calf  animal is veal from,52
2336,factoid,How many layers of skin do we have?,\b3\b|seven|three|\b7\b,three,layers of skin do we have   three many,32
1529,factoid,What is the oldest college bowl game?,Rose Bowl Game|Rose Bowl,Rose Bowl,Rose Bowl is the oldest college bowl game,24
1788,factoid,Who makes viagra?,Pfizer,Pfizer,Pfizer makes viagra,25
2089,factoid,On what Caribbean Island was Ponce de Leon governor?,Puerto Rico('s)?,Puerto Rico's,Puerto Rico's  Caribbean Island was Ponce de Leon governor,23
1699,factoid,What city is Purdue University in?,West Lafayette|Lafayette,West Lafayette,West Lafayette  city is Purdue University in,50
1928,factoid,how did Patsy Cline die,plane crash|crash.*plane|Aviation accident or incident,plane crash crash  plane Aviation accident or incident,Patsy Cline die   plane crash crash  plane Aviation accident or incident ,20
1723,factoid,What is Madonna's last name?,Ciccone,Ciccone,Ciccone is Madonna 's last name,295
10058,factoid,how long does light travel from sun to earth?,(49[0-9]|50[0-9])\s*s|8.*min, 49 0 9  50 0 9   s s 8  min,light travel from sun to earth does   49 0 9  50 0 9   s s 8  min long,6
1744,factoid,What car company invented the Edsel?,Ford,Ford,Ford  car company invented the Edsel,210
10014,factoid,What is Albert Einstein's surname?,Einstein,Einstein,Einstein is Albert Einstein 's surname,7
1686,factoid,Who defeated the Spanish armada?,Drake|Engl(and|ish),England,England  defeated the Spanish armada,22
2020,factoid,In which city would you find the Louvre?,Paris,Paris,Paris  city would you find the Louvre,34
10055,factoid,how did hitler die?,suicide|ballistic|shoo?t,suicide,hitler die   suicide ,51
10049,factoid,Who received the Nobel Prize in Physiology or Medicine in 1962?,((Crick|Watson|Wilkins).*){3}|Francis Crick|Maurice Wilkins,Maurice Wilkins,Maurice Wilkins  received the Nobel Prize in Physiology or Medicine in 1962,29
1566,factoid,What famous Spanish poet died in Spain's Civil War?,Lorca,Lorca,Lorca  famous Spanish poet died in Spain 's Civil War,292
1726,factoid,What is the name of the canopy at a Jewish wedding?,c?hup?pah?|chipe|chuppot,chuppot,chuppot is the name of the canopy at a Jewish wedding,0
2047,factoid,How close is Mercury to the sun?,"(3[56].*million|35,?980,?000)\s*miles|(57,?910,?000|5[78].*million)\s*(km|kilometers)", 3 56   million 35  980  000  s miles  57  910  000 5 78   million  s  km kilometers ,Mercury to the sun is   3 56   million 35  980  000  s miles  57  910  000 5 78   million  s  km kilometers  close,1
1946,factoid,What day and month did Nixon resign?,9[^0-9]*Aug(ust)?|Aug(ust)?[^0-9]*9,9 Ff<e|sWZ|)d Hu-lAug,9 Ff<e|sWZ|)d Hu-lAug  day and month did Nixon resign,52
1730,factoid,What is Mark Twain's real name?,Samuel.*Clemens,Samuel  Clemens,Samuel  Clemens is Mark Twain 's real name,42
10070,factoid,what is capital city of czech republic?,Prague|Praha,Prague,Prague is capital city of czech republic,204
2001,factoid,"What rock band sang ""A Whole Lotta Love""?",Led Zeppelin,Led Zeppelin,Led Zeppelin  rock band sang `` A Whole Lotta Love '',43
1943,factoid,What is the name of Ling Ling's mate?,Ahua|Hsing-Hsing|Tong Tong,Tong Tong,Tong Tong is the name of Ling Ling 's mate,0
2073,factoid,How fast does light travel through space?,"186,?(282|000) miles per second|(299,?792|300,?000) kilometers per second|299,?792,?458 met(re|er)s per second|671 million miles per hour",671 million miles per hour,light travel through space does  671 million miles per hour fast,0
2084,factoid,How many home runs did Babe Ruth hit?,714|104,104,home runs did Babe Ruth hit   104 many,239
2286,factoid,What is an Indian flute made of?,cane|wood|Bamboo,cane,cane is an Indian flute made of,96
1527,factoid,When did the 6-day war begin?,"June 5\s?, 1967|1967",1967,the 6-day war begin  in 1967 ,3
1807,factoid,What is the range for the number of passengers a Boeing 747-400 airplane can carry?,416|524|660|Ansett Australia\'s retrofitted two Boeing 747\-400 series aircraft,524,524 is the range for the number of passengers a Boeing 747-400 airplane can carry,35
2353,factoid,What did Osama bin Laden's father do for a living?,construction|business,business,business  did Osama bin Laden 's father do for a living,6
1739,factoid,What is the full name of conductor Seiji?,Seiji Ozawa,Seiji Ozawa,Seiji Ozawa is the full name of conductor Seiji,10
2362,factoid,How high is Pikes peak?,"14,?11[0-9]\s*('|f(ee|oo)?t)|4,?30[0-9]\s*m|more than 14000 ft","4,304 m","Pikes peak is  4,304 m high",10
1974,factoid,"What is Richie's surname on ""Happy Days""?",Cunningham,Cunningham,Cunningham is Richie 's surname on `` Happy Days '',85
1620,factoid,What year was the first Macy's Thanksgiving Day Parade held?,1924,1924,1924  year was the first Macy 's Thanksgiving Day Parade held,13
1882,factoid,What nationality is Sean Connery?,Scot(tish)?,Scottish,Scottish  nationality is Sean Connery,88
2159,factoid,"What country singer's first album was titled ""Storms of Life""?",Randy Travis,Randy Travis,Randy Travis  country singer 's first album was titled `` Storms of Life '',7
10074,factoid,what is the critical angle of rainbow?,\b48\b,48,48 is the critical angle of rainbow,0
1446,factoid,How did Mahatma Gandhi die?,\bshot|shooting|Assassination,Assassination,Mahatma Gandhi die   Assassination ,60
2328,factoid,What state was Amelia Earhart born in?,Kan(sas|.),Kansas,Kansas  state was Amelia Earhart born in,117
1934,factoid,"What is the play ""West Side Story"" based on?",Romeo and Juliet|a 1961 American romantic musical drama film,a 1961 American romantic musical drama film,a 1961 American romantic musical drama film is the play `` West Side Story '' based on,2
1407,factoid,When did the shootings at Columbine happen?,"April 20\s?, 1999|1999|April 20",1999,the shootings at Columbine happen  in 1999 ,25
2339,factoid,How did John Quincy Adams die?,stroke|cerebral hemorrhage,cerebral hemorrhage,John Quincy Adams die   cerebral hemorrhage ,35
2100,factoid,What did Caesar say before he died?,"Et tu, Brute\?|Brutus",Brutus,Brutus  did Caesar say before he died,75
10076,factoid,what is the lowest prime number?,\b2\b,2,2 is the lowest prime number,78
2377,factoid,What country is the leading producer of rubber?,Thailand,Thailand,Thailand  country is the leading producer of rubber,36
2090,factoid,What Ridley Scott movie is set in 180 a.d.?,Gladiator,Gladiator,Gladiator  Ridley Scott movie is set in 180 a.d.,24
1654,factoid,Where is Prairie View A&M University?,Texas|United States,Texas,Prairie View A & M University is in Texas ,0
1613,factoid,When was Benjamin Disraeli prime minister?,1868|1874|1880,1874,Benjamin Disraeli prime minister  in 1874 ,2
10051,factoid,Who wrote Pirate Jenny?,Weill|Bertolt Brecht,Bertolt Brecht,Bertolt Brecht  wrote Pirate Jenny,1
1785,factoid,What body of water does the Euphrates River empty into?,Persian gulf|Shatt al\-Arab,Shatt al-Arab,Shatt al-Arab  body of water does the Euphrates River empty into,98
1932,factoid,When did International Volunteers Day begin?,1985|\(December 5\),1985,International Volunteers Day begin  in 1985 ,4
1438,factoid,What body of water does the Colorado River flow into?,Gulf of California,Gulf of California,Gulf of California  body of water does the Colorado River flow into,79
2003,factoid,How far is the distance for a free throw?,(15|19)\s*f(oo|ee)?t|(4.6|5.8)\s*m,4W6 m,far is the distance for a free throw   4W6 m ,0
1971,factoid,What city is the Liberty Bell currently located in?,Philadelphia,Philadelphia,Philadelphia  city is the Liberty Bell currently located in,24
1541,factoid,What president is on a quarter?,Washington,Washington,Washington  president is on a quarter,30
1872,factoid,How did Eva Peron die?,cervical cancer|Cancer,cervical cancer,Eva Peron die   cervical cancer ,23
1692,factoid,How tall is the Eiffel Tower in France?,98(4|6)\s?-?\s?f(ee|oo)?t\.?|301\s*m|300m|300 m,984-ft.,tall is the Eiffel Tower in France   984-ft. ,14
1552,factoid,What did Charles Babbage invent?,Analytic(al)? Engine|computer,Analytical Engine,Analytical Engine  did Charles Babbage invent,19
2065,factoid,What is a female moose called?,cows?|Female moose \(called,cow,cow is a female moose called,25
1659,factoid,Where was Bob Dylan born?,"Duluth\s?, Minn(\.,?|esota)?|Duluth|Minnesota",Minnesota,Bob Dylan born  in Minnesota ,13
1584,factoid,When did George W. Bush get elected as the governor of Texas?,199(4|8)|1995,1995,George W. Bush get elected as the governor of Texas  in 1995 ,10
2012,factoid,How did Marty Robbins die?,heart attack|cardiac|Surgical complications,cardiac,Marty Robbins die   cardiac ,15
1567,factoid,When did the Black Panther party start in California?,1966,1966,the Black Panther party start in California  in 1966 ,22
2265,factoid,How did Marjorie Kinnan Rawlings die?,cerebral hemorrhage,cerebral hemorrhage,Marjorie Kinnan Rawlings die   cerebral hemorrhage ,50
1702,factoid,"Whose business slogan is ""Quality is job 1""?",Ford,Ford,Ford  business slogan is `` Quality is job 1 '',19
2070,factoid,What date did the U.S. civil war start?,April 12.*1861|1861,1861,1861  date did the U.S. civil war start,38
1505,factoid,What is the currency used in China?,RMB|Ren?minbi|Yuan,Yuan,Yuan is the currency used in China,114
1935,factoid,What color is the top stripe on the U.S. flag?,red( stripe| color)?$,red,red  color is the top stripe on the U.S. flag,6
1806,factoid,When was the first heart transplant?,1967,1967,the first heart transplant  in 1967 ,118
1819,factoid,When did Marilyn Monroe commit suicide?,1962,1962,Marilyn Monroe commit suicide  in 1962 ,5
10005,factoid,How many pieces are there in a dozen?,\b12\b|twelve,12,pieces are there in a dozen   12 many,0
2086,factoid,What is the study of ants called?,myrmecology,myrmecology,myrmecology is the study of ants called,28
1799,factoid,What is the life expectancy of the average woman in Nigeria?,5[0-9] years,55 years,55 years is the life expectancy of the average woman in Nigeria,1
1763,factoid,How old is the universe?,1[34].* billion years,1 34    billion years,the universe is  1 34    billion years old,30
10009,factoid,What color is the sky?,blue,blue,blue  color is the sky,290
2105,factoid,What country produces the most silk?,China,China,China  country produces the most silk,34
2272,factoid,How many intelligence agencies does the U.S. have?,17,17,intelligence agencies does the U.S. have   17 many,8
1714,factoid,What province in Canada is Niagara Falls located in?,Ontario,Ontario,Ontario  province in Canada is Niagara Falls located in,89
1592,factoid,When was the Reichstag burned down?,1933,1933,the Reichstag burned down  in 1933 ,0
1865,factoid,What is the major crop grown in Arizona?,cotton,cotton,cotton is the major crop grown in Arizona,17
1828,factoid,What was Thailand's original name?,Siam|3\:1 THAILAND,3:1 THAILAND,3:1 THAILAND  was Thailand 's original name,18
10020,factoid,What is the color of pee?,yellow|golden,yellow,yellow is the color of pee,131
1789,factoid,What is the date of the Kent State Shooting?,"May 4\s?, 1970|1970|May 4",May 4,May 4 is the date of the Kent State Shooting,56
1848,factoid,What was the name of the plane that dropped the Atomic Bomb on Hiroshima?,Enola Gay,Enola Gay,Enola Gay  dropped the Atomic Bomb on Hiroshima,129
1927,factoid,How did George Washington die?,inflammatory quinsy|severe infection of the throat|throat infection|cynanche trachealis|inflammation|blee?d|epiglottitis,throat infection,George Washington die   throat infection ,31
1534,factoid,The sun is mostly made up of what two gasses?,hydrogen .*helium,hydrogen   helium,hydrogen   helium  two gasses,29
1598,factoid,"Who was the baseball player given the nickname ""Mr. October""?",Reggie Jackson,Reggie Jackson,Reggie Jackson  was the baseball player given the nickname `` Mr. October '',18
2071,factoid,How many islands are there in Indonesia?,"1[78],?(508|306|000)|8,?844",18306,islands are there in Indonesia   18306 many,19
2029,factoid,How many electoral votes does Tennessee have?,11,11,votes does Tennessee have   11 electoral,6
1462,factoid,Where is the oldest synagogue in the United States?,Newport|New York|Rhode Island,Rhode Island,the oldest synagogue in the United States is in Rhode Island ,31
2290,factoid,When was the piano made?,1700|1698|1[78].*century|1993,1700 1698 1 78   century 1993,the piano made  in 1700 1698 1 78   century 1993 ,0
10066,factoid,in which country was google founded?,\bU(nited|\.)?\s*S(tates|\.)?\b,U S.,U S.  country was google founded,0
2160,factoid,What is the body temperature of a dog?,\b(100|102|38|39)\b,39,39 is the body temperature of a dog,2
10044,factoid,Who discovered the structure of DNA?,((Watson|Crick).*){2}|Crick|Watson,  Watson Crick     2  Crick Watson,  Watson Crick     2  Crick Watson  discovered the structure of DNA,141
2387,factoid,What country celebrates Guy Fawkes Day?,England|\bGB\b|Great Britain|\bUK\b|United Kingdom,United Kingdom,United Kingdom  country celebrates Guy Fawkes Day,0
2218,factoid,What company manufactures Van Heusen shirts?,Phillips-Van Heusen|PVH,Phillips-Van Heusen,Phillips-Van Heusen  company manufactures Van Heusen shirts,9
1708,factoid,When was the Exxon Valdez Oil spill?,1989,1989,the Exxon Valdez Oil spill  in 1989 ,0
1460,factoid,What was the name of the dog in the Thin Man movies?,Asta,Asta,Asta  was the name of the dog in the Thin Man movies,12
1898,factoid,What city is Disneyland in?,Anaheim|Paris|To(ky|yk)o,Toyko,Toyko  city is Disneyland in,45
2282,factoid,What canal is between the Mediterranean Sea and the Red Sea?,Suez,Suez,Suez  canal is between the Mediterranean Sea and the Red Sea,34
1829,factoid,How tall is the CNN Tower in Toronto?,"553.*\s*m|1,?815.*\s*f(oo|ee)?t",553   s m 1  815   s f oo ee  t,tall is the CNN Tower in Toronto   553   s m 1  815   s f oo ee  t ,39
1508,factoid,What was Dale Evans' horse's name?,Buttermilk,Buttermilk,Buttermilk  was Dale Evans ' horse 's name,7
1653,factoid,"How do you say ""French fries"" in French?",pommes frites|frites,pommes frites,do you say `` French fries '' in French   pommes frites ,38
1837,factoid,"What year was Ebbets Field, home of Brooklyn Dodgers, built?",191[23],1913,1913  built,0
1479,factoid,"Who composed ""The Messiah""?",Handel,Handel,Handel  composed `` The Messiah '',120
2227,factoid,What is the Bluegrass state?,K(entuck)?y.?,Kentucky,Kentucky is the Bluegrass state,299
2231,factoid,What is a word spelled the same backward and forward called?,palindrome,palindrome,palindrome is a word spelled the same backward and forward called,2
1710,factoid,What are the colors of the Italian flag?,"((green|white|red)\s*,?\s*(and)?\s*){3}","green , and red , and red and ","green , and red , and red and   are the colors of the Italian flag",53
2330,factoid,What river is under New York's George Washington bridge?,Hudson,Hudson,Hudson  river is under New York 's George Washington bridge,0
2015,factoid,What building is the Academy of Country Music Awards held in?,MGM Grand Garden Arena|ACM,ACM,ACM  building is the Academy of Country Music Awards held in,20
10093,factoid,where is kiev ?,Ukraine|\bUA\b,UA,kiev is in UA ,0
10029,factoid,What is the proton number of neon?,\b10\b|ten,ten,ten is the proton number of neon,15
1569,factoid,When did the Vietnam War end?,(25|twenty-five) years ago|1975|1973,1975,the Vietnam War end  in 1975 ,84
2022,factoid,What English city does the prime meridian pass through?,Greenwich,Greenwich,Greenwich  English city does the prime meridian pass through,30
2088,factoid,How many rooms are in the White House?,132,132,rooms are in the White House   132 many,8
10097,factoid,which natural number immediately follows 41 and precedes 43?,\b42\b|fourty.?two,42,42  natural number immediately follows 41 and precedes 43,0
1537,factoid,How many electoral college votes in Tennessee?,11,11,college votes in Tennessee   11 electoral,6
1614,factoid,What is the capital of Victoria?,Melbourne,Melbourne,Melbourne is the capital of Victoria,126
1948,factoid,What is the word which means one hiring his relatives?,nepotism,nepotism,nepotism  means one hiring his relatives,38
1436,factoid,What was the name of Stonewall Jackson's horse?,Little Sorrel,Little Sorrel,Little Sorrel  was the name of Stonewall Jackson 's horse,11
1650,factoid,"What county is Elmira, NY in?",Chemung,Chemung,Chemung  NY in,0
1481,factoid,What is the capital city of Algeria?,Algiers,Algiers,Algiers is the capital city of Algeria,53
2017,factoid,What US state produces most of the nation's cheese?,Wisconsin,Wisconsin,Wisconsin  US state produces most of the nation 's cheese,6
2237,factoid,What album became the greatest selling album of all time?,Thriller,Thriller,Thriller  album became the greatest selling album of all time,56
10082,factoid,what is the name of the ninth episode of the seventh season of the animated television series Family Guy?,The Juice is Loose,The Juice is Loose,The Juice is Loose is the name of the ninth episode of the seventh season of the animated television series Family Guy,15
2176,factoid,"when was Dante's ""Inferno"" written?",1300s|1308|1321|14th century,1321,Dante 's `` Inferno '' written  in 1321 ,0
1682,factoid,When was Martin Luther King Jr. born?,"Jan(\s?\.?|uary)? 15\s?, 1929|1929",1929,Martin Luther King Jr. born  in 1929 ,1
2134,factoid,What is Motley Crue's Nikki Sixx's real name?,Frank.*Feranna,Frank  Feranna,Frank  Feranna is Motley Crue 's Nikki Sixx 's real name,10
