stars,advantage,drawback,text
5,Найкрутіший Смарт на сьогоднішній день!,Їх не існує!,"Найкрутіший Смарт на сьогоднішній день,як зовнішнім дизайном і ціновою політикою так і внутрішніми параметрами! SAMSUNG повністю виправила ситуацію,яка стосувалась щодо NOTE 7! Компанія знову на коні.БРАВО!"
5,,,Чи є захисне скло чи потрібно ставити ?
4,"Ціна, екран, дизайн, nfc",Збірка у моєму випадку,"Власники телефону, підкажете, у всіх чути брязкіт камери якщо пальцем постукати в районі основної камери? Телефон класний, але цей звук мене тривожить, чи варто в сервіс звертатись?"
5,питання,,"скажіть чи хтось його юзає без чохла, плівки, стікла? як він при цьому? покрився подряпинами чи можна і далі носити без захисту?"
5,"Дизайн, свіжий андроїд, ціна",За таку вартість майже немає...,"Придбав такий на подарунок, смартфон дійсно цікавий і виділяється на тлі конкурентів в першу чергу із за дійсно тонких рамок, взагальному все в ньому круто, камера посередня, ну як і ціна.Рекомендую!"
5,"Бесконтактні платежі, компактний екран, якість динаміків, швидкість роботи навігації.","Двійна камера, мікроюсб.","Купив собі апарат взамін побитого Мейзу М5. Нічого кардинально крутішого в користуванні не відчувається. Екран блідший. А так то норм смартфон. Звук з динаміка приємний. Швидкість роботи нормальна. Все працює швидко. Камера двійна -липова, вона ""маже"" не там де треба(для ""понтів""). Радує що у мене тепер є бесконтакті платежі."
1,,,"Купив дружині поганий звук підчас розмови неприніма сім карту здавав на ремонт по гарантії через 3 дні все тесаме,"
4,"Хороший дизайн, непогана камера, хороша батерея. Класний звук Dolby Atmos.","дружина не пригадує, хіба , що потрібно налаштовувати камеру для різних режимів зйомки.","Користується дружина, вже 3 місяці нарікань як в неї так і в мене до даного смарту жодних, замовляли не в Розетці, працює на 5+ по 5 бальній системі."
4,,,своїх грошей ватий
5,"Низька ціна, потужний",Нет наушников,Товар дуже добрий і своїх грошей він взагалі не коштує користуюсь ним уже майже один рік він не видає нінайменшого відгуку на підглючування дуже хороший телефон.
5,"Батарея довго тримає, хороша камера",Немає,"Користуюся майже рік. Батарея досить довго тримає, фотки класні робить, відео гарної якості виходять. Телефон на всі 100% справляється з поставленими завданнями"
5,,,Чудовий телефон з оптимальним функціоналом та характеристиками.Єдина проблема з підбором відповідних аксесуарів.Дуже задоволений покупкою.Користуюсь телефоном десять місяців.
5,"Швидкість роботи, пам`ять телефона",Не виявлено,"Довго вагалася щодо марки Xiaomi, але тепер аніскільки не шкодую. Телефон бомба-ракета! Звук супер, швидкість, якість фото - неймовірно! Рекомендую!"
4,,,Что лутше купить мейзу м5нот чи ксіом рeдмі нот4
5,"Хороша батерея, Класний екран",не виявив,"Користуюсь телефоном пів року, порадувала батерея граю ігри в неті сиджу вистачає на день. Купив такий самий жінці дуже рада телефоном. задня кришка потребує чохла. Так як виявляються царапини на спинці. Поклеїв 3d скло так як брав телефон на довгий період були пропадання сім але обновили прошивку зараз все гаразд. Телефон відповідає якість=ціна"
4,"Продуктивність,Ціна,Відпичаток пальця,Батерея","Хрипи під час розмови,Камера","Всім привіт,получив телефон,прийшов десь за 10 днів,користуюся десь днів 10,із плюсів це звичайно його продуктивність,відпичаток класна штука,і ціна, із мінусів це то що під час розмови чути хрипи,п люс дуже слабенька камера,мені класний а ви вибирайте самі,ну я інтернет весь пройшов за таку ціну з такими характеристиками ніде не купиш!"
5,"Батарея, екран, ціна-якість",,"Користуюсь телефоном кілька днів. Ніяких зауважень по якості зборки та швидкодії немає. Встановив всі необхідні програми для роботи - залишається 1,2 Гб вільної оперативної пам'яті. Тепер про неприємне - фото у описі товару не відповідають дійсності. На фото зображений редмі ноут 4, а по факту прийшов телефон у корпусі ноут 4х з пластмасовими верхніми та нижніми частинами корпуса та хромованими полосками між ними. Хоча на коробці вказано ноут 4 і є наклейка глобальна версія та зарядний пристрій під євро розетку."
5,Просто чудовий смарт.,,всі характеристики вказані в описі. Рішеня за користувачем.
5,"Все влаштовуе може трохи кращу камеру. Швидкий, свій антівірус",Майже нема (камера)але це не критично все інше літае,Ціна якісьть все добре
1,"Ціна, що зменшується з кожним днем.",Глюки,"Після позитивного відгуку у телефона почав вимикатись екран, як наврочив. Працює нормально але деколи витягують з кишені а екран не працює, хоча сам телефон якби працює. Аварійним перезавантаженням запускається але це не діло. Що робити далі?"
1,"Ціна, що зменшується з кожним днем.",Глюки,"Після позитивного відгуку у телефона почав вимикатись екран, як наврочив. Працює нормально але деколи витягують з кишені а екран не працює, хоча сам телефон якби працює. Аварійним перезавантаженням запускається але це не діло. Що робити далі?"
4,"Швидкий, без лагів",немає!,"Перестали працювати нижні сенсори меню, додому та назад працюють тільки після розблокування телефону 1-2 секунди а дальше перестають! Також перестав заряджатись.."
5,"процесор, сканер пальця, об'ємна батарея, яка довго тримає, чудовий вигляд, шустрий, добротна збірка",поки на помічено,"Прийшов запакований, коробка запаяна плівкою, після включення 8 версія MIUI обновилась до 9-ої. В роботі шустрий, динаміки хороші, екран чіткий та якісний. Зібраний добротно, на вигляд шикарний. Сподіваюсь на його довгу безвідмовну службу."
5,Зауважень немає.,,За співвідношенням ціна/якість - нормально виглядає та працює.
5,,,Можна відправити товар новою поштою?
5,,,"Доставили рівно через 3 доби після замовлення. Телефон супер :) І вигляд стильний, і функціонал хороший. Операційна система відразу оновилась. Апаратне забезпечення відповідає заявленому. Працює швидко, зображення якісне. Як телефон - зручний, добре лежить в руці. Звук як для музики в навушниках хороший, без -трохи гірший але цілком прийнятний. Камера середня, для звичних потреб цілком вистачає. Батарея тримає доволі довго- активного використання з дзвінками, месенджерами, інтернетом, музикою та періодичним відео вистачає на дві доби (правда, пройшов тільки тиждень від експлуатації телефона)."
5,Просто чудовий. Все нормально працює,Не вишиває на машинці крестиком-),"Гарний, недорогий телефон, повністю виправдана покупка"
4,"Великий екран, багато пам'яті, швидкість, ергономічність, велика ємність батареї, хороша ціна.","Розміщення кнопок перемикання гучності біля кнопки блокування екрану, відсутність еквалайзера у стандартному аудіопрогравачі, відверто слабенька камера.","Як досвідчений, apple-юзер, вирішив на деякий час пересісти на андройд (насправді телефон татові купили, проте він не бажає розлучатись зі своєю кнопочною нокією, але не суть). Є багато чого спільного між iOS та Андройдом саме таким, як на Xiaomi, я у системі Андройд звісно не знавець, та проте Xiaomi можна справедливо назвати китайським Apple. Щодо переваг: швидко доставили, оперативно, телефон гарно та стильно виглядає, особливо чорний колір, доволі елегантний, великий екран, не розряжається за один день (на відміну від мого старичка Iphone 5), приємно тримати в руці, хороша ціна, дуже навіть. Інколи, якщо приходить верифікація де-небудь і треба ввести код, телефон сам вводить цей код, проте не усюди, але це дуже зручно, не потрібно нічого запам'ятовувати.Щодо недоліків: кнопка блокування екрану на одній стороні з перемиканням гучності, справа, і це дуже незручно, постійно промахуєшся, особливо вночі. Ще також помітив, якщо в тебе чохол-книжечка, то при його закритті, екран не гасне, блокувати необхідно кнопкою (на відмінну від samsung чи apple, там ця фішка присутня). Немає еквалайзера в стандартному аудіопрогравачі, проте він є лише для навушників..треба ставити інші аудіопрогравачі, що доволі незручно, особливо коли в тебе багато виконавців і альбомів, усе переносити, усю бібліотеку, по новій.Камера - найголовніший мінус, дуже нечітка і багато мила, в темряві просто жуть. Краще навіть не використовувати зум, він лише погіршує картинку.Ну ось таке вдалось відзначити, якщо знайду щось ще - допишу. Користуюсь телефоном 2 тижні.В принципі, за таку ціну не без недоліків, ще й Китай. Але ціна-якість файна, тому ставлю оцінку ""добре""."
3,Тримає декілька днів батарею.,Пропадає мережа,"У мене така ж біда з телефоном Сяомі час від часу пропадає мережа. Спочатку Київстар не бачить, потім Водафон."
5,"Ціна - якість, потужність, характеристики",Не знайшов,"Швидко доставили, приємний кур`єр, користуюсь тиждень, дуже задоволений!"
5,,,Скажіть будь-ласка чому мене при розмові так погано чути ДЯКУЮ
5,,,"В характеристиці вказано що даний телефон підтримує функцію ""Швидке зарядження"" чи це дійсно так???"
4,Батарея,не знайшов,"Нормальний смартфон, оновився до 7 андроїда. Через IrDA підключив всю теле - аудіо техніку."
5,,,який краще брати в чорному чи сірому кольорі? який краще дивиться
5,,,"Скажіть будь ласка, чим відрізняється редмі ноте 4 від редмі ноте 4х?"
5,"Ціна та якість, заряд тримає 4 дні.",не помітив,"Все , що потрібно від смартфона є і на дуже високому рівні."
3,ціна,глюки,"Купив, глючив сенсор приближення, щокою нажимаю кнопки. Повернув через 10 днів, повернули кошти, замовив аналогічний(думав проблеми в даному телефоні), далі глючить сенсор приближення, та сама історія. До Розетки притензій не має."
5,,,"хмм... багато відгуків що після перезагрузки sim не бачить. В мене все норм, можливо в прошивці проблема. Обновіть до останньої версії"
5,Все працює.,"Немає, поки-що.",Він у мене перший. Не вправі коментувати.
5,"Дисплей, батарея, не зависає, красивий дизайн, ціна, непогана камера.","Потрібно обирати - або дві сімки, або одна сімка і карта пам'яті.","Телефон досить швидкий, не зависає, всі програми працюють добре. За добу активного користування (wifi, 3g, камера, соцмережі, оновлення системи, встановлення додатків) розрядився на 70%. Камера непогана при хорошому освітленні, але нічого особливого. Хороша фронтальна камера з автоматичним покращенням недоліків обличчя (почервоніння, жирний блиск, виразність рис обличчя). Хороший екран, можна дивитися фільми."
4,"Все мені в ньому подобається! Правда є два але! Якщо телефон виключається сам то коли включити то потрібно кілька раз виймати сімку бо телефон її не бачить, ще мене не влаштовує, що дуже важко знайти на міжнародну версію чохол і захисне скло.",Після перезагрузки не сприймає сім карту найбільший його мінус,В основному все подобається
5,"Розмір, ціна, продуктивність, пам'ять",Не помітила,"Користуюсь телефоном п'ять місяців. Такий же недавно купили чоловікові. Сподобалось, що все можна налаштувати під себе. За цей час оновився Андроїд до 7.0 (у вересні), MIUI до MIUI Global 9.0.3.0 (у листопаді). Сканер відбитку пальців працює добре (можна додати кілька відбитків). Телефон дуже допомагає у роботі. Заряд тримає довго."
3,9.11 замовив 14.11 зранку привезли.,"Після першої зарядка в центрі з'явилась ""масляна""пляма.","Доставили дуже швидко.Телефон за таку ціну чудовий.Сьогодні перший раз зарядив і в центрі екрану з'явилась ""масляна"" пляма."
5,"Батарея, дисплей, оболонка MiUi(принаймі, як на мене, краща ніж у мейзу), динамік(голосний і чистий звук).","Дизайн- на любителя, не скажу що поганий, але є над чим працювати.","Перші враження - позитивні. Батарея(за годину постійного навантаження в переважній більшості перегляду відео розряджається в середньому на 6-10%, тобто якщо не грати в ігри, то вистачить на довго), уже прилітає стабільна обновка MiUi 9 з android 7 на борту, чудовий дисплей, камера- середнячок. Поки що сказати більше нічого, як будуть проблеми то обов'язково дам знати. За свою вартість- дурістю буде придиратись до дрібниць. І до речі, дуже втішився, що нема різного роду предустановленого з коробки(вічна проблема самсунга)."
5,,,"Підскажіть будь ласка, телефон приходить у блістерній упаковці?"
3,"шустра система, не глючить",роз'єм для підзарядки накрився через 2 місяці,Телефон не поганий на свою ціну. Прикро тілкьти що в Україні лише 1 місце де його ремонтують по гарантії. Відповідно хто не проти чекати місяць поки його ремонтують (якщо не проживають в Києві) рекомендую.
5,"Телефон просто супер- стільки було на рахунок нього роздумів! Зараз ні каплі не шкодую,що купила!","Мені не сподобалось те, що на нього проблема чохли і скло знайти або якщо шукати то на 4х. Правда скло захисне трошки відстає бо чохол його підносить.","Зараз мій чоловік думає купляти його чи ні, постараюся переконати щоб купив собі!"
5,"Швидкий, зручний, легкий, гарний дизайн, хороша камера.","При розмові вимикається мікрофон або телефон вмикає режим ""утримується"".","Телефон купила в серпні, до сьогоднішнього дня не пожаліла. Дуже подобається його швидкість роботи в порівнянні з попереднім телефоном. Прийшов телефон протягом 7 днів."
5,Global Version,Немає.,"Замовив 24.10.2017. Отримав 30.10.2017. З Варшави до невеликого містечка в Луганській області - 6 діб!. Доставка на домашню адресу безкоштовна!  Сервіс Розетка+ Euromart+ Meest Express - жодних нарікань!  Перевірив телефон на оф.сайті Xiaomi - все ОК. Перевірив за допомогою інженерного меню - все працює, як треба."
4,,,Куди звертатись за гарантійними послугами?? перестав заряджатись(взагалі не працює usb-роз'єм)
5,все добре,поки шо немає,навіть перевершив мої очікування
4,Хороший екран і камера. Потужний.,"Проблеми із заставкою при блокуванні та розблокуванні. Багато встроєних непотрібних програм, які неможливо видалити.","Купив у червні 2017 року. Простий, хороший телефон. Покупкою задоволений."
5,суцільні переваги :),динамік,"Замовлення прийшло швидко, пристрій оригінальний. Задоволена усім - виконанням корпусу, функціонуванням, камерою. Не перегрівається, не глючить, не лагає. Єдине, що можна зарахувати до недоліків - це динамік, бракує басів. Однак якісні навушники виправляють ситуацію."
5,"Ціна, характеристики.",Незнайшов,Телефон за свою ціну дуже хороший. Рекомендую!!!
5,Все перкрасно.,"Важко підібрати захисне скло, так як екран по краям ввігнутий і залишаються по бокам повітряні прошарки","Телефон чудовий, замовляли мені теж через розетку. Доставили швидко. Що порадувало, що мій браслет mi band 2, будучи не відв'язаним від старого телефона (бо його вкрали) без проблем приєднався до цього. Користуюсь уже більше 2-х місяців. Телефоном дуже задоволений, Так як я користуюсь, батареї вистачає на 2-3 дні. Працює швидко, добре чути, і добре мене чують. Телефон чудовий. На рахунок камери не знаю, дуже рідко нею користуюсь. Рекомендую!!!"
5,,,всьо хорошо=)
3,,,"Отримав товар позавчора, по вай-фай прийшло 2 обнови. Після 2 обнови перестав працювати сканер відбитку пальців. Я перезагрузив телефон і опція взагалі зникла з меню телефона. Буду чекати нову обнову.Телефон непоганий все працює добре, за винятком сканера відбитку пальця."
2,Ціна,"Битий піксель, пятно на екрані","Дві неділі в експлуатації.. Спочатку все було круто... поки я не зайшов в сервіс за захисним склом.. Оказалося що це не 4 а 4х тонкі срібні полоски датчики всі під 4х одразу скачав aida, виявилось на процесорі від квалкома... Розмір батареї 4000 хоча телефон і коробка показує 4100... З цим змирився аж поки не замітив битий піксель на чорному фоні.... І це не все під гострим кутом на екрані пятно 1.5 на 1 см яке виділяється тим що переливається різними кольорами...Телефон коштує своїх грошей... Но при покупці добре провіряйте вміст та відповідність товару, та цілісність екрану.."
4,кращий чим за таку ціну в мої сестри самсунг.,деколи приторможує,"пока відгук не писав -пока недовго користувався а вже користуюся пів року все окей рекомендую брати ,но мені кажеться навіть краще 4х там камера краща на той час як я брав небуло в прдажі 4х тільки 4-з міжнародною прошивкою."
5,"Ціна, MIUI, оперативна пам'ять, процесор, акумулятор",Камера,"Чудовий телефон за ці кошти, у якого маленький недолік - камера, але й вона цілком на пристойному рівні. Все працює чудово, жодного глюку, затримки. Акумулятор витримує мінімум 2 дні при активному користуванні із 2 сім-картами, на економі 3 дні. Оновлення надходять. Рекомендую тим, хто не хоче переплачувати."
5,,,"Місяць тому купив собі. телефон не викликає жодних зауважень. Оновлення прийшли відразу ж. Програми запускаються дуже швидко, інтернет ""літає"". У мене був Lenovo P780, то це звичайно. Дуже задоволений. Екран з насиченими кольорами. рекомендую, не пошкодуєте."
5,"Апарат хороший, я так думаю )))",Служба доставки міст експрес,"Заказав телефон 29.08.2017 сьогодні 6.09.2017, телефона ще немає!!! Телефон прийшов ще 1.09 на відділення міст експрес і там тупо відлежується!!! Телефон хороший якість доставки -10!!! Розетка не співпрацюйте більше з цією службою доставки"
5,,Не знайшов поки,"Тільки позитивні емоції від використання, користуюсь декілька днів проблем не мав. Відмінне співвідношення ціна-якість. Ще потішила швидка доставка."
4,Швидкий не глючить,екран,Питання до представника Євромарту: через місяць користування нижня половина екрана стала рожевою з розводами і полоскою. Я так розумію це проблема з екраном. Я можу повернути телефон чи я вже втратила таку можливість? Телефон сподобався але така проблема мені не сподобалась
5,Сам обновився до Android 7.0 (серпень 2017),Не знайшов,"Все прекрасно, телефон швидкий. Поставив Goole Now Launcher до якого звик, замість MIUI."
1,"За такі гроші, отримує доволі хороший середнячок","Є брак, світло зелетий битий піксель, який чітко видно на чорному фоні. Особливо, битий піксель видно при хорошій яскравості телефона на будь якому темнуватому фоні.","Тут неодноразово вказувалось, що у телефоні є биті пікселі, у когось їх більше одного, мені ж «повезло» трішки більше. Читав відгуки на інших сайтах, в тому числі зарубіжних - також присутня ця проблема. При перегляді фільму, чи чтива текста на чорному фоні - майорить перед очима і тим самим відволікає.Пробував проводити безпечні маніпуляції, щоб усунути битий піксель (про які ви самі можете прочитати в інтернетику) — не допомогли."
5,Класний смартфон з суперовою камерою та з шикарним процесором.,Не знайшла))),"Покупкою задоволена, всім рекомендую. Окреме спасибі Розетці !!!"
5,Порадьте будь ласка скло до данного телефону!,,Телефон чудовий)
4,"Камера, батарея, сканер відбитка пальця.","Маркий корпус, але це терпимо",Прекрасний телефон все дуже подобається
4,"Ціна, батарея, екран, ергономіка, snapdragon 625","Скрипить і трохи люфтить клавіша блокування, було десь 5 залипших пікселів, зеленого і червоного кольорів (за допомогою вушної палочки і програми спеціальної прибрави їх)","В принципі можна брати, апарат за свою ціну хороший, просто в Xiaomi велика ймовірність браку на виробництві (вже другий телефон Xiaomi з проблемами з пікселями, але в цьому випадку зміг їх відновити) матриця BOE, камери Samsung. З браком та модулями камери просто лотерея, як повезе. Тому за кнопку, пікселі та рандом ставлю 4"
